ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1972,1,0,0,0,0,0,0,0,0,0,20.1,2.3,0,50.4,0,118.2,0,0,9.4,10.2,15.3,0,0,0,0,0,15.3,0,0,0,50.2,0
1972,2,0,0,0,0,20.2,0,35.3,0,0,0,0,0,0,48.2,0,52.3,0,73.1,0,35.2,0,0,0,25.3,0,0,0,0,0,,
1972,3,0,10,0,25.3,0,53.1,0,0,32.1,0,0,0,0,0,0,45.3,0,0,34.1,0,0,0,0,0,0,18.1,0,0,55.2,0,0
1972,4,0,5.4,0.5,33.2,23.4,3.1,2.3,7,48.4,0,26,48.2,0,20.2,0,4.4,5.8,10.3,7,23.2,5.3,0,9.6,21.4,0,5.3,0,9.2,7.2,0,
1972,5,0,77.2,18.2,0,58.3,0,0,0,18.2,0,0,0,0,0,0,0,0,0,22.1,19.3,0,0,0,0,0,0,0,0,0,0,0
1972,6,3.1,9.2,0,15.6,0,8,0,0,0,0,0,0,3.4,0,0,0,0,7.2,0,0,18.4,24,0,2.2,0,0,0,0,0,0,
1972,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,1.2,0,0,0,0
1972,8,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5.8,0,0,0,1.8
1972,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,1.4,0,0,0,0,0,3,0,
1972,10,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,
1972,12,0,8.1,0,4.5,0,0,0,32.5,0,0,0,0,0,0,5,0,0,3.1,0,18.2,13.2,0,0,0,38.2,10.2,30.2,0,0,0,0
1973,1,0,0,26.4,2.2,0,17.8,9.6,0,2.3,1.2,59.4,40.4,2.2,3.1,15.3,6.1,0,11.4,0,8.2,1.1,0,0,4.1,4.3,0,0,36,0,0,0
1973,2,0,0,0,12.4,1.4,0,9.2,0,0,10.6,1.3,33.4,35.2,9,3.1,12.8,2.5,3.3,9.4,8.4,1.3,3.2,40,0,16.2,1.5,0,0,,,
1973,3,0,0,0,14.4,9.6,1.9,0,14.4,33.2,19.2,10.4,0,7.6,0,0,2,3.1,6.4,0,0,22,57.2,47.8,27.6,0,14,15.8,3.1,1.6,1.5,0
